problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,29.0,1.0,5
er_14_0.3_1,19.0,1.0,1
er_14_0.3_2,21.0,0.9130434782608695,1
er_14_0.5_0,34.0,1.0,6
er_14_0.5_1,32.0,1.0,12
er_14_0.5_2,34.0,1.0,3
er_14_0.7_0,42.0,1.0,2
er_14_0.7_1,41.0,1.0,27
er_14_0.7_2,38.0,1.0,6
er_16_0.3_0,26.0,1.0,4
er_16_0.3_1,29.0,0.9666666666666667,1
er_16_0.3_2,22.0,1.0,17
er_16_0.5_0,46.0,0.9787234042553191,23
er_16_0.5_1,42.0,1.0,42
er_16_0.5_2,40.0,1.0,61
er_16_0.7_0,50.0,1.0,7
er_16_0.7_1,55.0,1.0,73
er_16_0.7_2,55.0,1.0,39
er_18_0.3_0,36.0,1.0,76
er_18_0.3_1,34.0,1.0,32
er_18_0.3_2,39.0,1.0,455
er_18_0.5_0,47.0,1.0,24
er_18_0.5_1,56.0,1.0,76
er_18_0.5_2,56.0,1.0,27
er_18_0.7_0,67.0,1.0,75
er_18_0.7_1,65.0,1.0,158
er_18_0.7_2,65.0,1.0,150
er_20_0.3_0,44.0,1.0,593
er_20_0.3_1,37.0,0.9736842105263158,1
er_20_0.3_2,38.0,1.0,149
er_20_0.5_0,68.0,1.0,583
er_20_0.5_1,62.0,1.0,3
er_20_0.5_2,64.0,1.0,575
er_20_0.7_0,89.0,1.0,712
er_20_0.7_1,83.0,1.0,1584
er_20_0.7_2,80.0,1.0,1119
geo_14_0.3_0,15.0,1.0,2
geo_14_0.3_1,15.0,1.0,6
geo_14_0.3_2,15.0,1.0,2
geo_14_0.5_0,29.0,1.0,12
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,1
geo_14_0.7_0,39.0,1.0,4
geo_14_0.7_1,46.0,1.0,23
geo_14_0.7_2,41.0,1.0,15
geo_16_0.3_0,17.0,1.0,10
geo_16_0.3_1,22.0,0.9565217391304348,25
geo_16_0.3_2,18.0,1.0,1
geo_16_0.5_0,37.0,1.0,8
geo_16_0.5_1,45.0,1.0,41
geo_16_0.5_2,37.0,1.0,26
geo_16_0.7_0,45.0,1.0,47
geo_16_0.7_1,55.0,1.0,78
geo_16_0.7_2,55.0,0.9821428571428571,44
geo_18_0.3_0,19.0,1.0,16
geo_18_0.3_1,25.0,1.0,6
geo_18_0.3_2,23.0,1.0,16
geo_18_0.5_0,41.0,1.0,24
geo_18_0.5_1,50.0,1.0,457
geo_18_0.5_2,46.0,1.0,136
geo_18_0.7_0,68.0,1.0,230
geo_18_0.7_1,80.0,1.0,1
geo_18_0.7_2,71.0,1.0,413
geo_20_0.3_0,31.0,1.0,172
geo_20_0.3_1,30.0,1.0,2
geo_20_0.3_2,31.0,0.96875,169
geo_20_0.5_0,53.0,0.9814814814814815,323
geo_20_0.5_1,64.0,1.0,1098
geo_20_0.5_2,59.0,1.0,142
geo_20_0.7_0,82.0,1.0,1120
geo_20_0.7_1,87.0,1.0,90
geo_20_0.7_2,81.0,1.0,1
