problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,27.0,0.9310344827586207,15
er_14_0.3_1,19.0,1.0,15
er_14_0.3_2,23.0,1.0,17
er_14_0.5_0,34.0,1.0,12
er_14_0.5_1,32.0,1.0,18
er_14_0.5_2,34.0,1.0,12
er_14_0.7_0,41.0,0.9761904761904762,18
er_14_0.7_1,41.0,1.0,11
er_14_0.7_2,37.0,0.9736842105263158,12
er_16_0.3_0,26.0,1.0,43
er_16_0.3_1,29.0,0.9666666666666667,47
er_16_0.3_2,21.0,0.9545454545454546,55
er_16_0.5_0,47.0,1.0,48
er_16_0.5_1,41.0,0.9761904761904762,3
er_16_0.5_2,39.0,0.975,32
er_16_0.7_0,50.0,1.0,31
er_16_0.7_1,55.0,1.0,45
er_16_0.7_2,54.0,0.9818181818181818,35
er_18_0.3_0,35.0,0.9722222222222222,147
er_18_0.3_1,34.0,1.0,7
er_18_0.3_2,38.0,0.9743589743589743,12
er_18_0.5_0,47.0,1.0,117
er_18_0.5_1,56.0,1.0,108
er_18_0.5_2,54.0,0.9642857142857143,132
er_18_0.7_0,67.0,1.0,124
er_18_0.7_1,64.0,0.9846153846153847,88
er_18_0.7_2,65.0,1.0,152
er_20_0.3_0,44.0,1.0,325
er_20_0.3_1,38.0,1.0,327
er_20_0.3_2,38.0,1.0,441
er_20_0.5_0,68.0,1.0,241
er_20_0.5_1,62.0,1.0,319
er_20_0.5_2,64.0,1.0,304
er_20_0.7_0,87.0,0.9775280898876404,269
er_20_0.7_1,82.0,0.9879518072289156,240
er_20_0.7_2,80.0,1.0,285
geo_14_0.3_0,15.0,1.0,3
geo_14_0.3_1,15.0,1.0,20
geo_14_0.3_2,15.0,1.0,13
geo_14_0.5_0,29.0,1.0,20
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,12
geo_14_0.7_0,39.0,1.0,13
geo_14_0.7_1,45.0,0.9782608695652174,8
geo_14_0.7_2,39.0,0.9512195121951219,5
geo_16_0.3_0,17.0,1.0,70
geo_16_0.3_1,23.0,1.0,3
geo_16_0.3_2,18.0,1.0,6
geo_16_0.5_0,36.0,0.972972972972973,47
geo_16_0.5_1,44.0,0.9777777777777777,32
geo_16_0.5_2,37.0,1.0,41
geo_16_0.7_0,44.0,0.9777777777777777,32
geo_16_0.7_1,53.0,0.9636363636363636,48
geo_16_0.7_2,55.0,0.9821428571428571,32
geo_18_0.3_0,19.0,1.0,114
geo_18_0.3_1,25.0,1.0,33
geo_18_0.3_2,23.0,1.0,149
geo_18_0.5_0,40.0,0.975609756097561,110
geo_18_0.5_1,49.0,0.98,3
geo_18_0.5_2,46.0,1.0,168
geo_18_0.7_0,67.0,0.9852941176470589,97
geo_18_0.7_1,78.0,0.975,2
geo_18_0.7_2,71.0,1.0,116
geo_20_0.3_0,31.0,1.0,147
geo_20_0.3_1,30.0,1.0,3
geo_20_0.3_2,31.0,0.96875,21
geo_20_0.5_0,53.0,0.9814814814814815,309
geo_20_0.5_1,64.0,1.0,195
geo_20_0.5_2,59.0,1.0,276
geo_20_0.7_0,80.0,0.975609756097561,302
geo_20_0.7_1,86.0,0.9885057471264368,380
geo_20_0.7_2,81.0,1.0,273
