problem_name,cost,approx_ratio
g05_60.0,486.0,0.9067164179104478
g05_60.1,504.0,0.9473684210526315
g05_60.2,517.0,0.9773156899810964
g05_60.3,522.0,0.9702602230483272
g05_60.4,489.0,0.9278937381404174
g05_60.5,474.0,0.8893058161350844
g05_60.6,519.0,0.9774011299435028
g05_60.7,492.0,0.9196261682242991
g05_60.8,490.0,0.9245283018867925
g05_60.9,508.0,0.9530956848030019
g05_80.0,851.0,0.9160387513455328
g05_80.1,860.0,0.9139213602550478
g05_80.2,852.0,0.9122055674518201
g05_80.3,823.0,0.8916576381365113
g05_80.4,833.0,0.8937768240343348
g05_80.5,860.0,0.9287257019438445
g05_80.6,841.0,0.9052744886975242
g05_80.7,837.0,0.9009687836383208
g05_80.8,858.0,0.9275675675675675
g05_80.9,836.0,0.905742145178765
g05_100.0,1303.0,0.9111888111888112
g05_100.1,1291.0,0.9059649122807018
g05_100.2,1306.0,0.9120111731843575
g05_100.3,1324.0,0.9297752808988764
g05_100.4,1293.0,0.8979166666666667
g05_100.5,1308.0,0.9108635097493036
g05_100.6,1294.0,0.902370990237099
g05_100.7,1297.0,0.9063591893780573
g05_100.8,1322.0,0.9231843575418994
g05_100.9,1329.0,0.9293706293706294
